# RATAN Spectra-At-Positions Data File v 1.0.20.520 
# generated at Mon May 17 12:12:27 2021
# DATE-OBS = 2011/10/10
# TIME-OBS = 09:00:44.790
# CDELT1 =        3.1292702
# AZIMUTH =       0.00000000
# SOL_DEC =       -6.5710000
# SOLAR_R =        960.95001
# SOLAR_P =        26.299999
# SOLAR_B =        6.2000000
# RATAN_P =        26.299999
# PAR.OTZENTRA =      0.200000
# PAR.CAL_FREQ =       9.75000
# PAR.CAL_BY = Int
# PAR.METHOD = shablon
# PAR.X_FROM =     -400
# PAR.X_TO =     -120
# PAR.X_FRFR =        0
# PAR.PTS_BY = Int
# PAR.UNITS = Ta
# PAR.XPOI =       61
# PAR.YPOI =      263
# N_POS =           10
# N_FREQS =           76
  0.0000000e+000 -2.3834023e+002 -2.3834023e+002 -2.3834023e+002 -2.2895242e+002 -2.2895242e+002 -2.2895242e+002 -2.1956461e+002 -2.1956461e+002 -2.1956461e+002 -2.1017679e+002 -2.1017679e+002 -2.1017679e+002 -2.0078898e+002 -2.0078898e+002 -2.0078898e+002 -1.9140117e+002 -1.9140117e+002 -1.9140117e+002 -1.8201336e+002 -1.8201336e+002 -1.8201336e+002 -1.7262555e+002 -1.7262555e+002 -1.7262555e+002 -1.6323774e+002 -1.6323774e+002 -1.6323774e+002 -1.5384993e+002 -1.5384993e+002 -1.5384993e+002 -5.1568809e-001
  3.0000000e+000  4.9904214e+001  5.9783043e+001  1.1755880e+002  6.7996952e+001  8.2621417e+001  1.1764526e+002  8.7635386e+001  1.0878670e+002  1.1772499e+002  1.0278412e+002  1.2957552e+002  1.1779605e+002  1.0579496e+002  1.3610549e+002  1.1785737e+002  9.5606184e+001  1.2481679e+002  1.1790901e+002  7.5619543e+001  9.9472843e+001  1.1795388e+002  5.3178470e+001  6.8626334e+001  1.1799612e+002  3.3316809e+001  4.0465934e+001  1.1804479e+002  1.7863652e+001  2.0146548e+001  1.1815257e+002  0.0000000e+000
  3.1800001e+000  5.9070675e+001  7.1886227e+001  1.3027861e+002  8.0152450e+001  9.9035955e+001  1.3036671e+002  1.0223136e+002  1.2907859e+002  1.3044525e+002  1.1937008e+002  1.5262212e+002  1.3051388e+002  1.2222389e+002  1.5840185e+002  1.3057256e+002  1.1010481e+002  1.4338291e+002  1.3062390e+002  8.7092832e+001  1.1272572e+002  1.3066741e+002  6.1073458e+001  7.6677905e+001  1.3071464e+002  3.7526257e+001  4.4447661e+001  1.3076226e+002  1.9245663e+001  2.1163642e+001  1.3083287e+002  0.0000000e+000
  3.3699999e+000  7.9752061e+001  9.4355124e+001  1.4072552e+002  1.0495777e+002  1.2360897e+002  1.4079869e+002  1.2622167e+002  1.4770091e+002  1.4086012e+002  1.3934876e+002  1.6066271e+002  1.4091082e+002  1.3951983e+002  1.5839352e+002  1.4095360e+002  1.2679455e+002  1.4235588e+002  1.4099022e+002  1.0324326e+002  1.1483114e+002  1.4102272e+002  7.5324644e+001  8.2358460e+001  1.4105260e+002  4.7331204e+001  5.1326943e+001  1.4109674e+002  2.4473194e+001  2.6156799e+001  1.4115289e+002  0.0000000e+000
  3.5699999e+000  8.1804241e+001  8.9368541e+001  1.5376450e+002  1.1187673e+002  1.2375019e+002  1.5387065e+002  1.3806019e+002  1.5363285e+002  1.5396473e+002  1.5474451e+002  1.7216920e+002  1.5404205e+002  1.5695455e+002  1.7312163e+002  1.5410771e+002  1.4337525e+002  1.5755476e+002  1.5416475e+002  1.1690354e+002  1.2759937e+002  1.5421479e+002  8.4391740e+001  9.2059955e+001  1.5426245e+002  5.3084526e+001  5.7201996e+001  1.5431623e+002  2.6818520e+001  2.8562710e+001  1.5438636e+002  0.0000000e+000
  3.7500000e+000  8.5024974e+001  9.4489646e+001  1.6529923e+002  1.2060165e+002  1.3671024e+002  1.6540899e+002  1.5369131e+002  1.7478416e+002  1.6550506e+002  1.7599422e+002  1.9972921e+002  1.6558412e+002  1.7993394e+002  2.0304868e+002  1.6564822e+002  1.6554335e+002  1.8542029e+002  1.6570220e+002  1.3539258e+002  1.5141766e+002  1.6574887e+002  9.7258762e+001  1.0891385e+002  1.6579068e+002  5.9721495e+001  6.6981382e+001  1.6583157e+002  3.0266942e+001  3.1937350e+001  1.6589257e+002  0.0000000e+000
  4.0000000e+000  8.4782032e+001  9.0807291e+001  1.7988790e+002  1.2520228e+002  1.3905595e+002  1.8003323e+002  1.6421664e+002  1.8541761e+002  1.8016319e+002  1.9258026e+002  2.1836677e+002  1.8027569e+002  2.0074799e+002  2.2792276e+002  1.8037011e+002  1.8581878e+002  2.1165129e+002  1.8045266e+002  1.5305376e+002  1.7460229e+002  1.8052547e+002  1.1020796e+002  1.2608636e+002  1.8059225e+002  6.8095873e+001  7.7725630e+001  1.8065965e+002  3.3971610e+001  3.7651041e+001  1.8075573e+002  0.0000000e+000
  4.1999998e+000  8.6130660e+001  9.8199848e+001  1.9322974e+002  1.3323776e+002  1.5590963e+002  1.9339416e+002  1.8230857e+002  2.1398982e+002  1.9353759e+002  2.1850816e+002  2.5602440e+002  1.9365857e+002  2.3121584e+002  2.6947397e+002  1.9376125e+002  2.1494191e+002  2.4943258e+002  1.9384925e+002  1.7558079e+002  2.0412893e+002  1.9393183e+002  1.2498320e+002  1.4533073e+002  1.9400785e+002  7.5500857e+001  8.7311202e+001  1.9409266e+002  3.7054497e+001  4.0675202e+001  1.9420798e+002  0.0000000e+000
  4.5000000e+000  8.6306510e+001  1.0431030e+002  2.2175741e+002  1.3954303e+002  1.7456008e+002  2.2195256e+002  1.9885958e+002  2.4916736e+002  2.2212787e+002  2.4494140e+002  3.0491001e+002  2.2227694e+002  2.5988204e+002  3.2089070e+002  2.2241009e+002  2.3823822e+002  2.9371655e+002  2.2252837e+002  1.8812964e+002  2.3197699e+002  2.2265568e+002  1.2587814e+002  1.5593099e+002  2.2281530e+002  6.8659233e+001  8.5564388e+001  2.2300944e+002  2.7162740e+001  3.2672356e+001  2.2323933e+002  0.0000000e+000
  4.9000001e+000  9.0264569e+001  1.0731124e+002  2.5484790e+002  1.5344900e+002  1.9373090e+002  2.5508895e+002  2.2638205e+002  2.9072352e+002  2.5526157e+002  2.8087030e+002  3.6395510e+002  2.5545394e+002  2.9625907e+002  3.8718237e+002  2.5562070e+002  2.6436445e+002  3.4973802e+002  2.5577812e+002  1.9854178e+002  2.6836287e+002  2.5597033e+002  1.2362471e+002  1.7152596e+002  2.5620139e+002  5.9840251e+001  8.6529980e+001  2.5646827e+002  1.8939218e+001  2.7597363e+001  2.5677332e+002  0.0000000e+000
